Title,Input,Device Type,Input Specs,Local user,Remote user,UI/UX,Visual,Haptic,Auditory,Remarks,Collab Style,Video,Publication,Year,Month,Citation,PubType,Application,Thumb
Virtual Reality Based Immersive Telepresence System for Remote Conversation and Collaboration,3D Scene,HMD,HTC Vive VR and two handheld controllers and two infrared localizations devices. Noitom perception neuron glove with 32 neurons as motion capture glove. For Lip Sync based mouth movement 6 typical phonemes [a][e][i][o][u][s] used. this also supports different languages and we tested on Eng and Chn.,VR,VR,Visual + Auditory,avatar head motion body gesture eye gaze,,voice,during remote collaboration session users can play PPT slides or watch videos together or they can cooperate on solving math problem by calculating on a virtual blackboard. data that transmited through the network are audio stream; motion params and scenes sync data. the average latency is around 100ms - 150ms under LAN. using this users can solve some problems by sharing sketches with each other. presence,1→1,,AniNex,2017,Jun,4,System,immersive collaboration,
Social Street View: Blending Immersive Street Views with Geo-tagged Social Media,Panorama Image,HMD,scraped 100 Google Street View panoramas from Manhattan in New York City as main dataset. found over 84055 images on Instagram within a query distance of 20m in these panoramas. For each query system returns 100 closest social media images according to the distance to the panorama by searching in B+ trees. The rendering resolution we used is 2650x1440 pixels.,VR,VR,Visual + Auditory,avatar,,text,enhance storytelling; Business Advertising; Learning Culture and Crowd-sourced Tourism perception,1→0,,Web3D,2016,Jul,16,System,social interaction,
Geollery: A Mixed Reality Social Media Platform,Panorama Image,HMD,,,,Visual + Auditory,,,,an interactive mixed-reality social media platform (creating sharing and exploring geotagged information) in 3D which uses a mirrored world rendered in real-time usability,1→0,https://www.youtube.com/watch?v=VKRAv3vDjv4,CHI,2019,May,17,System,immersive collaboration,
360-Degree Photo-realistic VR Conferencing,360 Video,HMD,Kinect to get RGBD image of User. capture a color and depth image using an RGB+depth camera. background is replaced with a chroma-key.,VR,VR,Visual + Auditory,graphical avatar (photo-realistic representation of users),,voice,social VR experiences with photo-realistic representations of participants and people expressed discomfort with wearing the HMD for this duration (due to heat); lack of interacting with the environment (pointing) and better video quality. experienced naturalness of the feeling of presence and the interaction decision making,(n)→0,,IEEE VR,2019,Mar,1,System,immersive collaboration,
Social VR Platform: Building 360-degree Shared VR Spaces,360 Video,HMD, ,VR,VR,,,,,,,https://www.youtube.com/watch?v=yiTyQL7ECNw,TVX,2017,Jun,19,System,social interaction,
A Social VR Clinic for Knee Arthritis Patients with Haptics,3D Scene,HMD,HTC Vive Pro Eye Head-Mouted Display; SenseGlove; knee and the prosthesis model implementations were adapted based on professionally 3D scanned medical models from Thingiverse,VR,VR,Visual + Haptic + Auditory,hand gestures; teleportation; pointer,Sense glove provides force feedback on fingers,voice,The goal was to support patients to travel fewer times to the hospital but still communicate well with doctors and nurses and receive sufficient healthcare. it offers a virtual injection tool to train patients to inject medicines with haptic feedback. investigate more haptic experiences such as feeling or perceiving the weight of virtual objects emotion,1→n,https://www.youtube.com/watch?v=c89E98SQRqk,IMX,2020,Jun,0,Technology,healthcare,
VR Conferencing: communicating and collaborating in photo-realistic social immersive environments,360 Video,HMD,RGBD of user captured and displayed as point cloud or mesh,VR,VR,Visual + Auditory,hand gestures; graphical avatar (photorealistic representation of users),,voice,As part of the questionnaire people expressed a preference for the 3D experience; perception; usability,(2)→0,,VRIC,2019,Jul,1,System,social interaction,
Watching videos together in social Virtual Reality: An experimental study on users QoE,360 Video,HMD,FS system: users wear hand controllers that allow seeing their own virtual hands; the avatars appear as sitting on virtual chairs around a virtual table; the virtual screen appears at a fixed position on the other side of the table; the video playout is started by one user using a virtual touch player interface.  VB system: users do not hold/wear any controller and do not see any part of their own body; the users representation appears as sitting on a coach; the virtual screen is covering the wall in front of the users; in the virtual user representation the HMD is visible and occluding a large part of the user’s face; wearing an Oculus Rift HMD and noise-cancelling headphones. F2F system: users sit on two separate chairs in the same conference room with a screen in front of them. both users are recorded using a webcam.,VR,VR,Visual + Auditory,customized avatar,,voice,pairs of users watch a video trailer using two different sVR systems as well as sitting together in an actual room. FS(Facebook Spaces) VB(video-based sVR) F2F(Face-to-Face). quality of interaction; social connectedness and the sense of presence or immersion experienced by the users.,2→0,,IEEE VR,2019,Mar,3,User Study,social interaction,
Social VR: A New Medium for Remote Communication and Collaboration,360 Video,HMD,,VR,VR,Visual + Auditory,hand gestures; graphical avatar (photorealistic representation of users),,voice,,(2)→0,,CHI,2020,Apr,1,Platform,social interaction,
[DC] Multi-user (Social) Virtual Reality Communication,360 Video,HMD,,VR,VR,Visual + Auditory,hand gestures; graphical avatar (photorealistic representation of users),,voice,,(2)→0,,IEEE VR,2019,Mar,1,System,social interaction,
Everyday Photo-Realistic Social VR: Communicate and Collaborate With An Enhanced Co-presence and Immersion,360 Video,HMD,,VR,VR,Visual + Auditory,hand gestures; graphical avatar (photorealistic representation of users),,voice,,n→0,,IBC,2019,Sep,1,System,social interaction,
TogetherVR: A framework for photo-realistic shared media experiences in 360-degree VR,360 Video,HMD,,VR,VR,Visual + Auditory,hand gestures; graphical avatar (photorealistic representation of users),,voice,,n→0,,SMPTE,2018,Aug,14,System,social interaction,
Experiencing Virtual Reality Together: Social VR Use Case Study,360 Video,HMD,,VR,VR,Visual + Auditory,hand gestures; graphical avatar (photorealistic representation of users),,voice,,n→0,,TVX,2018,Jun,11,User Study,social interaction,
WebVR meets WebRTC: Towards 360-degree social VR experiences,360 Video,HMD,,VR,VR,Visual + Auditory,,,,,1⇄1,https://www.youtube.com/watch?v=2Ng67blnp9c,IEEE VR,2017,Mar,20,Platform,social interaction,
Immediate Presence of Handwritten Annotation on Moving Picture in Real-Time Collaborative System,Video,HHD,,Mobile/Tablet,Mobile/Tablet,Visual,drawing; handwritten annotation,,,immediate presence of handwritten annotation on moving picture during collaboration. Comparison of processing time and transmission delay,1→1,,IEEE Access,2020,Jul,0,System,immersive collaboration,
Exploring interaction techniques for 360 panoramas inside a 3D reconstructed scene for mixed reality remote collaboration,360 Video,HMD,remote expert VR HMD to immerse in a 360 live video or a static 3D scene. local user wearing AR HMD.,AR,VR,Visual + Auditory,red rectangle frame to show FoV; arrow to indicate the location of the frame; pointer; ,,voice,,,,JMUI,2020,Jul,1,System,immersive collaboration,
3D Collaboration Method over HoloLens and Skype End,Video,HMD,HoloLens and Skype App,AR,Mobile/Tablet/PC,Visual + Auditory,spatial annotation / drawing,,voice,single user with a HMD (HoloLens) who drives the exploration of a space. Collaborators need an inexpensive device that runs the Skype client to participate in the space,,https://www.youtube.com/watch?v=S7QBrlHaQQM,ImmersiveMe,2015,Oct,108,Platform,immersive collaboration,
HaptoMIRAGE,Image,SAR,three Active-shuttered Real-Image Autostereoscopy (ARIA) technology comprises an LCD display an active shutter and a Fresnel lens,,,Visual,colorful line drawings on real objects using a pen-shaped device,,,project 3D contents in mid-air and enable as many as three participants observe the same contents with a 180 degrees wide-angle view. superimposition of 3D content onto real objects and multi-user collaborative drawing in the real world.,,https://www.youtube.com/watch?v=XqT5pZsSGg4,SIGGRAPH,2014,Jul,25,Technology,collaborative design,
Remote mixed reality system supporting interactions with virtualized objects,Video,HMD,HoloLens ,AR,AR,Visual + Auditory,gesture,,voice,share the objects by virtualizing the real objects using CV and then rendering the virtualized objects using MR. it creates a smoother user experience for collaborative work with virtualized objects for remote user.,,,ISMAR,2015,Sep,7,Technology,immersive collaboration,
Effects of Head-Mounted and Scene-Oriented Video Systems on Remote Collaboration on Physical Tasks,Video,HMD,hmd camera with eye tracking capability and a scene camera providing a view of the work environment,AR,PC,,,,,,,,CHI,2003,Apr,282,User Study,immersive collaboration,
The Effect of Collaboration Styles and View Independence on Video-Mediated Remote Collaboration,Video,HMD,,AR,PC,,,,,remote user draws annotations on the shared view with a mouse while holding a reference instruction picture and local user wears an HMD with a camera and shares the view and annotations from a remote partner,,,CSCW,2018,Dec,24,System,immersive collaboration,
Development of collaborative workspace system using hand gesture,Video,HMD,,AR,AR,,,,,confirmed the we,,,IEEE GCCE,2016,Oct,1,System,immersive collaboration,
Webizing collaborative interaction space for cross reality with various human interface devices,,,,,,,,,,remote,,,Web3D,2018,Jun,2,Method,social interaction,
Augmented reality system based on hand gestures for remote maintenance,,,,,,,,,,users.,,,IEEE ICMCS,2014,Apr,13,System,immersive collaboration,
Handsintouch: Sharing gestures in remote collaboration,,,,,,,,,,,,,CHI,2018,Dec,4,System,immersive collaboration,
Stickie: Mobile device supported spatial collaborations,3D Scene,HHD,Node.js MongoDB Express and Jade. user can use the phones touchscreen to draw notes and bring images from other apps; annotate them and post the content on the TV screen,,,,,,,,,,SUI,2016,Oct,2,Technology,immersive collaboration,
A unified framework for remote collaboration using interactive ar authoring and hands tracking,3D Scene,HMD,system consists of a computing unit (PC) for computation; a video see-through HMD (HMD Oculus Rift DK2 and Ovrvision stereoscopic RGB camera) for visualization; a near-range depth sensor and a Samsung Gear Live smartwatch for bimanual hand tracking a smartphone for AR authoring. We additionally use exocentric body tracker (Microsoft Kinect v2) for body tracking.,,,,,,,,,,DAPI,2016,Jun,5,Platform,immersive collaboration,
The Social AR Continuum: Concept and User Study,,,,,,,,,,,,,ISMAR,2017,Oct,3,User Study,social interaction,
Cooperative mixed reality: An analysis tool,,,,,,,,,,,,,GROUP,2018,Jan,2,Technology,immersive collaboration,
Empathic Mixed Reality: Sharing What You Feel and Interacting with What You See,,,,,,,,,,,,,IEEE ISUVR,2017,Jun,18,User Study,social interaction,
Gesture-based augmented reality annotation,,,,,,,,,,,,,IEEE VR,2017,Mar,6,System,collaborative interaction,
ShowMe: A remote collaboration system that supports immersive gestural communication,Video,HHD,,,,UI/UX,,,,,,,CHI,2015,Apr,42,System,immersive collaboration,0
Mini-me: An adaptive avatar for Mixed Reality remote collaboration,3D Scene,HMD,,,,UI/UX,,,,,,https://www.youtube.com/watch?v=YrdCg8zz57E,CHI,2018,Apr,78,System,immersive collaboration,0
A hand-based collaboration framework in egocentric coexistence reality,,,,,,,,,,,,,URAI,2015,Oct,6,Platform,immersive collaboration,
Chili: Viewpoint Control and On-Video Drawing for Mobile Video Calls,Video,HHD,Mobile video,Mobile/Tablet,Mobile/Tablet,UI/UX,both users can draw or point on the video,,viewpoint control mode visualize as red rectangle,,,,CHI,2013,Apr,21,System,social interaction,0
Development and Usability Testing of a Panoramic Augmented Reality Environment for Fall Hazard Safety Training,,,,,,,,,,,,,CIB W78,2019,Jun,15,System,immersive learning,
Egocentric Smaller-person Experience through a Change in Visual Perspective,,,,,,,,,,,,,CHI,2019,May,4,User Study,social interaction,
bioSync: A Paired Wearable Device for Blending Kinesthetic Experience,,,,,,,,,,,,,CHI,2017,May,25,System,healthcare,
My Tai-Chi coaches: An augmented-learning tool for practicing Tai-Chi Chuan,,,,,,,,,,,,,AH,2017,Mar,23,System,healthcare,
Revisiting collaboration through mixed reality: The evolution of groupware,,,,,,,,,,,,,IJHCS,2019,Nov,19,Survey,immersive collaboration,
Parallel Eyes: Exploring human capability and behaviors with paralleled first person view sharing,Video,HMD,Mobile video,Google Cardboard,Google Cardboard,Awareness + UI/UX,,,,,,,CHI,2016,May,39,System,social interaction,1
Mobileportation: Nomadic Telepresence for Mobile Devices,Panorama Video,HHD,Lenovo Phab 2 Phone (equipped with Google Tango) and 360 camera,Mobile Camera,Mobile Camera,Visual + Auditory,,,,,,,IMWUT,2020,Jun,0,System,social interaction,0
Snow dome: A multi-scale interaction in mixed reality remote collaboration,Point Clouds,HHD,,,,UI/UX,,,,,,,CHI,2018,Apr,6,Technology,immersive collaboration,0
VirtualHaus: A collaborative mixed reality application with tangible interface,3D Scene,HMD,,,,,,,,,2→0,,VRST,2018,Nov,0,Platform,teleoperation,
Effect of body representation level of an avatar on quality of AR-based remote instruction,,,,,,,,,,,,,MTI,2020,Mar,2,User Study,immersive collaboration,
A User Study on Mixed Reality Remote Collaboration with Eye Gaze and Hand Gesture Sharing,,,,,,,,,,,,,CHI,2020,Apr,2,User Study,immersive collaboration,
A Literature Review on Collaboration in Mixed Reality,,,,,,,,,,,,,REV,2018,Mar,6,Survey,immersive collaboration,
Social telepresence robots - the role of gesture for collaboration over a distance,,,,,,,,,,,,,PETRA,2018,Jun,1,Survey,teleoperation,
Head and gaze control of a telepresence robot with an HMD,,,,,,,,,,,,,ETRA,2018,Jun,10,System,healthcare,
Think Fast: Rapid Localization of Teleoperator Gaze in 360 Hosted Telepresence,,,,,,,,,,,,,IJHR,2020,Jun,0,,,
Live Stereoscopic 3D Image with Constant Capture Direction of 360 Cameras for High-Quality Visual Telepresence,,,,,,,,,,,,,IEEE VR,2019,Mar,2,System,teleoperation,
Realtime 3D 360-Degree Telepresence with Deep-Learning-Based Head-Motion Prediction,,,,,,,,,,,,,JETCAS,2019,Feb,5,,,
ScalableBody: A telepresence robot that supports face position matching using a vertical actuator,,,,,,,,,,,,,AH,2017,Mar,14,,,
Can You Easily Perceive the Local Environment? A User Interface with One Stitched Live Video for Mobile Robotic Telepresence Systems,,,,,,,,,,,,,IJHCI,2020,May,0,,,
Human-guided robot 3D mapping using virtual reality technology,,,,,,,,,,,,,IROS,2016,Oct,8,,,
Superman vs giant: A study on spatial perception for a multi-scale mixed reality flying telepresence interface,3D Scene,HMD,,,,,,,,,,https://www.youtube.com/watch?v=jusLbwjWVcI,TVCG,2018,Sep,13,System,immersive collaboration,
A Lightweight Mobile Remote Collaboration Using Mixed Reality (MRCAVR),Video,HMD,,Mobile Camera,Google Cardboard,,,,,Uses mobile AR scanner(6D.ai),,https://www.youtube.com/watch?v=YjfDq0jy56M,CVPR,2019,Jun,1,,,
Wearable remotefusion: A mixed reality remote collaboration system with local eye gaze and remote hand gesture sharing,Point Clouds,HHD,Point clouds,AR,VR,Awareness,,Natural Hand Gesture,View Frustum + Eye Gaze,VR+LEAP Point clouds + color stitch together,,,ISMAR,2019,Oct,0,,,0
Experimental evaluation of sketching on surfaces in VR,,,,,,,,,,,,,CHI,2017,May,63,User Study,collaborative design,
MagicalHands: Mid-air hand gestures for animating in VR,,,,,,,,,,,,,UIST,2019,Oct,6,System,collaborative design,
Cross-domain retrieving sketch and shape using cycle CNNs,,,,,,,,,,,,,CGI,2020,May,1,,,
Model-Guided 3D Sketching,,,,,,,,,,,,,TVCG,2018,Jul,5,System,collaborative design,
VROOM: Virtual Robot Overlay for Online Meetings,360 Video,HMD,remote user wears a Windows Mixed Reality headset displaying the 360° view from the perspective of the robot in the local space. The user also holds a Windows Mixed Reality controller in each of their hands. They use the thumbstick to control the driving direction of the robot. local space a Microsoft HoloLens AR headset running a Unity application that we built. This application tracks the robot and overlays the avatar onto it. avatars head is made from a front-facing photo of the user using the Avatar Maker Pro Unity library and attached to an animated humanbody model available as a standard asset in Unity. The robot we use is a BeamPro telepresence robot. On this robot we attached a RICOH Theta V 360° camera connected to a small laptop attached to the base of the robot.,,,,,,,,,https://www.youtube.com/watch?v=9ZZ-YdUU01w,CHI,2020,Apr,3,System,teleoperation,
Adaptive view management for drone teleoperation in complex 3D structures,,,,,,,,,,,,,IUI,2017,Mar,14,,,
Panoramic View Reconstruction for Stereoscopic Teleoperation of a Humanoid Robot,,,,,,,,,,,,,IEEE RAS,2016,Nov,9,,,
VR-Enabled Telepresence as a Bridge for People Environments and Experiences,,,,,,,,,,,,,CHI,2020,Apr,0,User Study,teleoperation,
The effects of sharing awareness cues in collaborative mixed reality,,,,,,,,,,,,,Front Robot AI,2019,Feb,20,User Study,collaborative interaction,
Evaluating the Combination of Visual Communication Cues for HMD-based Mixed Reality Remote Collaboration,,,,,,,,,,,,https://www.youtube.com/watch?v=LIjeydfGU9I,CHI,2019,May,19,User Study,immersive collaboration,
Collaboration in 360 videochat: Challenges and opportunities,360 Video,HMD,The 360° camera atop a monopod affixed to a backpack streams 360° video to a tablet,,,,,,,,,,DIS,2017,Apr,43,,,
Stream space: Pervasive mixed reality telepresence for remote collaboration on mobile devices,Video,HHD,Mobile video,Mobile Camera,Mobile Camera,Awareness,,,,,,https://www.youtube.com/watch?v=TAnXAmYVzLU,JIP,2018,Nov,11,,,1
Merging live and static 360 panoramas inside a 3d scene for mixed reality remote collaboration,360 Video,HMD,local user wearing an AR HMD with a 360 camera on the top for sharing of 360 static and live panoramas to a remote user. A pre-captured 3D scene was integrated into the system along with the 360 panoramas. The remote user usage VR HMD. The remote user can also use VR controllers to provide instructional visual cues and exchange nonverbal communication with the local user.,,,,,,,,,,ISMAR,2019,Oct,0,,,
Investigating the use of different visual cues to improve social presence within a 360 mixed reality remote collaboration,,,,,,,,,,,,,VACAI,2019,Nov,1,,,
OmniGlobeVR: A Collaborative 360 Communication System for VR,360 Video,SAR,VR HMD(HTC Vive); a spherical display (Glomal350) with a 360° camera (RicohThetaV) mounted on the top,,,,,,,,,,CHI,2020,Apr,1,Technology,collaborative design,
A technique for mixed reality remote collaboration using 360 panoramas in 3D reconstructed scenes,360 Video,HMD,remote user on PC side wears a HTC Vive HMD (VR HMD); local user has a RICOH Theta V mounted on the AR HMD; Vive lighthouse tracker,,,,,,,,,https://www.youtube.com/watch?v=8nkJmvBmYP0,VRST,2019,Nov,1,,,
360Drops: Mixed reality remote collaboration using 360 panoramas within the 3D scene,360 Video,HMD,AR HMD (Microsoft HoloLens) with a 360 Camera (RICOH Theta V) mounted on top; remote user wears a VR HMD (HTC Vive),AR,VR,Awareness,,Natural Hand Gesture + Ray pointer + Audio,,presence,,,SIGGRAPH,2019,Nov,0,System,immersive collaboration,0
Holoportation: Virtual 3D teleportation in real-time,Point Clouds,HMD,to capture 360° of the scene N= 8 camera pods placed on the periphery of the room. Each pod consists of 2 Near Infra-Red cameras (NIR) and a color camera mounted on top of an optical bench. We also mount NIR filters on top of each NIR camera to filterout the visible light spectrum.  Each trinocular pod generatesa color-aligned RGB and depth stream using a state-of-the-art stereo matching technique. In total camera rig uses 244MP resolution Grasshopper PointGrey cameras.,,,,,,,,1→n,https://www.youtube.com/watch?v=7d59O6cfaM0,UIST,2016,Oct,279,Technology,immersive collaboration,
The new era of virtual reality locomotion: A systematic literature review of techniques and a proposed typology,,,,,,,,,,,,,MTI,2017,Dec,114,,,
Breaking The Experience: Effects of Questionnaires in VR User Studies,3D Scene,HMD,Vive controller; Vive Pro HMD; Biosensors(skin conductance sensor (ring+little finger)) respiration sensor; mind media NeXus 10,,,,,,,,,https://www.youtube.com/watch?v=iFYemY385UQ,CHI,2020,Apr,5,User Study,collaborative interaction,
SourceVis: Collaborative Software Visualization in Co-located Environments,3D Scene,PC,Multitouch Tables,,,,,,,,,,VISSOFT,2013,Sep,42,,,
Multi-touch Table User Interfaces for Collaborative Visual Software Analytics,3D Scene,PC,Rear DI multi-touch table; large visualization wall; Multi-touch Polymetric Views,,,,,,,,,,ITS,2010,Jun,3,,,
CoVAR: A collaborative virtual and augmented reality system for remote collaboration,3D Scene,HMD,AR user Microsoft HoloLens HMD and for the VR display the HTC Vive HMD; the two machines are connected by an Ethernet with TCP/IP connection and Unity Networking isused for data synchronization,AR,VR,Awareness + UI/UX,,hand gestures + head gaze + Eye gaze input,FoV. Showing the boundary of what the users can see through their display. Gaze cue. Represented by a ray showing the user‘s eye-gaze direction,presence + VR/AR + Leap + Pupil Labs,,,SIGGRAPH,2017,Nov,38,System,immersive collaboration,0
Eyemotion: Classifying facial expressions in VR using eye-tracking cameras,,,,,,,,,,,,,WACV,2019,Jan,44,,,
PanoVC: Pervasive Telepresence using Mobile Phones,Panorama Image,HHD,Panorama image and video,Mobile Camera,Mobile Camera,Awareness,,,,,,,PerCom,2016,Mar,23,,,0
TwinSpace: an Infrastructure for Cross-Reality Team Spaces,3D Scene,SAR,,,,,,,,,,,UIST,2010,Oct,29,Platform,collaborative interaction,
