Title,Input,Device Type,Input Specs,Local user,Remote user,UI/UX,Visual,Haptic,Auditory,Remarks,Collab Style,Video,Publication,Year,Month,Citation,PubType,Application,Thumb
Real-Time Streaming of Point-Based 3D Video,,,,,,,,,,,,,IEEE VR,2004,Mar,30,System,collaborative interaction,
Real World Video Avatar: Transmission and Presentation of Human Figure,,,,,,,,,,,,,IEEE VR,2004,Mar,14,Method,collaborative interaction,
Multi-Viewpoint Images for Multi-User Interaction,,,,,,,,,,,,,IEEE VR,2005,Mar,31,Technology,immersive collaboration,
APRIL: A High-level Framework for Creating Augmented Reality Presentations,,,,,,,,,,,,,IEEE VR,2005,Mar,106,System,immersive collaboration,
Immersiveness and Symmetry in Copresent Scenarios,,,,,,,,,,,,,IEEE VR,2005,Mar,39,User Study,collaborative interaction,
La Cueva Grande: a 43-Megapixel Immersive System,,,,,,,,,,,,,IEEE VR,2006,Mar,1,Technology,immersive visualization,
Designing Immersive Virtual Reality for Geometry Education,,,,,,,,,,,,,IEEE VR,2006,Mar,70,System,immersive learning,
CupHolder: A Multi-Person Interactive High-Resolution Workstation,,,,,,,,,,,,,IEEE VR,2006,Mar,0,Technology,immersive collaboration,
Can Immersive Virtual Humans Teach Social Conversational Protocols?,,,,,,,,,,,,,IEEE VR,2007,Mar,49,User Study,social interaction,
VRFire: an Immersive Visualization Experience for Wildfire Spread Analysis,,,,,,,,,,,,,IEEE VR,2007,Mar,25,System,immersive visualization,
A Mixed Reality Approach for Merging Abstract and Concrete Knowledge,,,,,,,,,,,,,IEEE VR,2008,Mar,58,Technology,collaborative interaction,
Mobile Group Dynamics in Large-Scale Collaborative Virtual Environments,,,,,,,,,,,,,IEEE VR,2008,Mar,14,System,immersive collaboration,
The Two-User Seating Buck: Enabling Face-to-Face Discussions of Novel Car Interface Concepts,,,,,,,,,,,,,IEEE VR,2008,Mar,33,Platform,immersive collaboration,
Immersive 3D Environment for Remote Collaboration and Training of Physical Activities,,,,,,,,,,,,,IEEE VR,2008,Mar,53,System,healthcare,
Image Blending and View Clustering for Multi-Viewer Immersive Projection Environments,,,,,,,,,,,,,IEEE VR,2009,Mar,18,System,social interaction,
One Man Band: A 3D Gestural Interface for Collaborative Music Creation,,,,,,,,,,,,,IEEE VR,2009,Mar,6,System,immersive learning,
Mixed Reality in Virtual World Teleconferencing,,,,,,,,,,,,,IEEE VR,2010,Mar,44,System,immersive collaboration,
In-Place Sketching for Content Authoring in Augmented Reality Games ,,,,,,,,,,,,,IEEE VR,2010,Mar,34,System,collaborative design,
VirtualizeMe: Real-time Avatar Creation for Tele-Immersion Environments,,,,,,,,,,,,,IEEE VR,2010,Mar,5,System,collaborative interaction,
Immersive Insights: A Hybrid Analytics System for Collaborative Exploratory Data Analysis,,,,,,,,,,,,,VRST,2019,Mar,3,System,immersive visualization,
Immersive ParaView: A Community-based Immersive Universal Scientific Visualization Application,,,,,,,,,,,,,IEEE VR,2011,Mar,12,System,immersive visualization,
VEGI: Virtual Environment GUI Immersion System,,,,,,,,,,,,,IEEE VR,2011,Mar,0,Method,collaborative interaction,
Full Body Haptic Display for Low-Cost Racing Car Driving Simulators,,,,,,,,,,,,,IEEE VR,2011,Mar,2,Technology,collaborative interaction,
Interactive Game-Based Rehabilitation Using the Microsoft Kinect,,,,,,,,,,,,,IEEE VR,2012,Mar,132,System,healthcare,
Room-sized Informal Telepresence System,,,,,,,,,,,,,IEEE VR,2012,Mar,16,System,immersive collaboration,
Increasing Agent Physicality to Raise Social Presence and Elicit Realistic Behavior,,,,,,,,,,,,,IEEE VR,2012,Mar,12,User Study,healthcare,
Drumming in immersive virtual reality: The body shapes the way we play,,,,,,,,,,,,https://www.youtube.com/watch?v=ydzSgLim5Y4,TVCG,2013,Mar,203,System,immersive learning,
The Effects of Visual Realism on Search Tasks in Mixed Reality Simulation,,,,,,,,,,,,,TVCG,2013,Mar,70,User Study,collaborative interaction,
Full body interaction in virtual reality with affordable hardware,,,,,,,,,,,,https://www.youtube.com/watch?v=wMEaJWsowfQ,IEEE VR,2014,Mar,15,User Study,collaborative interaction,
Particle Dreams in Spherical Harmonics,,,,,,,,,,,,,IEEE VR,2014,Mar,2,System,immersive visualization,
Panoramic Navigator. A vision machine for expanded spaces of representation,,,,,,,,,,,,https://www.youtube.com/watch?v=b3moSXpU080,IEEE VR,2014,Mar,0,System,immersive collaboration,
CORVETTE: Collaborative environment for technical training and experiment,,,,,,,,,,,,https://www.youtube.com/watch?v=exqd1TaaBew,IEEE VR,2014,Mar,1,System,immersive learning,
The Virtual World Framework:Collaborative Virtual Environments on the Web,,,,,,,,,,,,,IEEE VR,2014,Mar,2,Platform,immersive collaboration,
Demonstration: VR-HYPERSPACE- The Innovative Use of Virtual Reality to Increase Comfort by Changing the Perception of Self and Space,,,,,,,,,,,,,IEEE VR,2014,Mar,5,Survey,immersive collaboration,
C-OLiVE: Group Co-located Interaction in VEs for Contextual Learning,,,,,,,,,,,,,IEEE VR,2014,Mar,1,System,immersive learning,
Social Presence in Mixed Agency Interactions,,,,,,,,,,,,,IEEE VR,2014,Mar,0,User Study,healthcare,
Effects of Virtual Human Appearance Fidelity on Emotion Contagion in Affective Inter-Personal Simulations,,,,,,,,,,,,,TVCG,2016,Mar,54,User Study,healthcare,
VRRobot: Robot Actuated Props in an Infinite Virtual Environment,,,,,,,,,,,,https://www.youtube.com/watch?v=vOQqPLcWNgM,IEEE VR,2017,Mar,26,Platform,teleoperation,
An Evaluation of Strategies for Two-User Redirected Walking in Shared Physical Spaces,,,,,,,,,,,,,IEEE VR,2017,Mar,44,User Study,social interaction,
Immersive and Collaborative Taichi Motion Learning in Various VR Environments,,,,,,,,,,,,,IEEE VR,2017,Mar,10,System,immersive learning,
An Exploration of Input Conditions for Virtual Teleportation,,,,,,,,,,,,,IEEE VR,2017,Mar,4,User Study,collaborative interaction,
A Mixed Reality Tele-presence Platform to Exchange Emotion and Sensory Information Based on MPEG-V Standard,,,,,,,,,,,,,IEEE VR,2017,Mar,9,System,immersive collaboration,
VROnSite: Towards Immersive Training of First Responder Squad Leaders in Untethered Virtual Reality,,,,,,,,,,,,,IEEE VR,2017,Mar,6,User Study,immersive learning,
Socially Immersive Avatar-Based Communication,,,,,,,,,,,,,IEEE VR,2017,Mar,10,System,social interaction,
Mobile Collaborative Mixed Reality for Supporting Scientific Inquiry and Visualization of Earth Science Data,,,,,,,,,,,,,IEEE VR,2017,Mar,8,System,immersive collaboration,
Immerj: A Novel System for Democratizing Immersive Storytelling,,,,,,,,,,,,,IEEE VR,2017,Mar,4,System,collaborative interaction,
Immersive Virtual Training for Substation Electricians,,,,,,,,,,,,,IEEE VR,2017,Mar,5,User Study,immersive learning,
Social Presence and Cooperation in Large-Scale Multi-User Virtual Reality - The Relevance of Social Interdependence for Location-Based Environments,,,,,,,,,,,,,IEEE VR,2018,Mar,16,User Study,immersive collaboration,
Social VR: How Personal Space is Affected by Virtual Agents Emotions,,,,,,,,,,,,,IEEE VR,2018,Mar,20,User Study,collaborative interaction,
Immersive Visualization of Abstract Information: An Evaluation on Dimensionally-Reduced Data Scatterplots,,,,,,,,,,,,https://www.youtube.com/watch?v=qNk1hBNlDSQ,IEEE VR,2018,Mar,22,Platform,immersive visualization,
Collaborative Production Line Planning with Augmented Fabrication,,,,,,,,,,,,,IEEE VR,2018,Mar,4,Technology,immersive collaboration,
Using Industrial Robots as Haptic Devices for VR-Training,,,,,,,,,,,,,IEEE VR,2018,Mar,9,Platform,teleoperation,
AirwayVR: Learning Endotracheal Intubation in Virtual Reality ,,,,,,,,,,,,,IEEE VR,2018,Mar,13,System,immersive learning,
High-Fidelity Interaction for Virtual and Augmented Reality,,,,,,,,,,,,,IEEE VR,2018,Mar,0,Technology,collaborative interaction,
Real-Time Collaborative Animation of 3D Models with Finger Play and Hand Shadow,,,,,,,,,,,,,IEEE VR,2019,Mar,0,Technology,collaborative interaction,
A User Study on View-sharing Techniques for One-to-Many Mixed Reality Collaborations,,,,,,,,,,,,,IEEE VR,2020,Mar,4,User Study,immersive collaboration,
Effects of volumetric capture avatars on social presence in immersive virtual environments,,,,,,,,,,,,,IEEE VR,2020,Mar,2,System,collaborative interaction,
Shaking Hands in Virtual Space: Recovery in Redirected Walking for Direct Interaction between Two Users,,,,,,,,,,,,,IEEE VR,2020,Mar,1,User Study,social interaction,
Toward Virtual Reality-based Evaluation of Robot Navigation among People,,,,,,,,,,,,,IEEE VR,2020,Mar,2,User Study,teleoperation,
Camera-Based Calibration Techniques for Seamless Multiprojector Displays,,,,,,,,,,,,,TVCG,2005,Apr,336,Technology,collaborative interaction,
Comparative Flow Visualization,,,,,,,,,,,,,TVCG,2004,May,82,Technology,immersive visualization,
Real-Time 3D Human Capture System for Mixed-Reality Art and Entertainment,,,,,,,,,,,,,TVCG,2005,May,54,System,immersive collaboration,
Development of Anthropomorphic Multi-D.O.F. Master-Slave Arm for Mutual Telexistence,,,,,,,,,,,,,TVCG,2005,May,60,Platform,teleoperation,
Data Streaming in Telepresence Environments,,,,,,,,,,,,,TVCG,2005,May,29,System,immersive collaboration,
TORNADO: Omnistereo Video Imaging with Rotating Optics,,,,,,,,,,,,,TVCG,2005,May,16,Method,collaborative interaction,
The Effect of Visual and Interaction Fidelity on Spatial Cognition in Immersive Virtual Environments,,,,,,,,,,,,,TVCG,2006,May,59,User Study,immersive collaboration,
A Network Architecture Supporting Consistent Rich Behavior in Collaborative Interactive Applications,,,,,,,,,,,,,TVCG,2006,May,78,Platform,immersive collaboration,
Real-Time Interaction with a Humanoid Avatar in an Immersive Table Tennis Simulation,,,,,,,,,,,,,TVCG,2006,May,49,System,immersive learning,
Viz-A-Vis: Toward Visualizing Video through Computer Vision,,,,,,,,,,,,,TVCG,2008,May,43,System,immersive visualization,
Lark: Coordinating Co-located Collaboration with Information Visualization,,,,,,,,,,,,,TVCG,2009,May,134,System,immersive visualization,
A Point-Cloud-Based Multiview Stereo Algorithm for Free-Viewpoint Video,,,,,,,,,,,,,TVCG,2010,May,107,Platform,collaborative interaction,
MoleView: An Attribute and Structure-Based Semantic Lens for Large Element-Based Plots,,,,,,,,,,,,,TVCG,2011,May,88,System,immersive visualization,
Autocalibration of Multiprojector CAVE-Like Immersive Environments,,,,,,,,,,,,,TVCG,2012,May,44,System,immersive visualization,
SoftAR: Visually Manipulating Haptic Softness Perception in Spatial Augmented Reality,,,,,,,,,,,,,TVCG,2015,May,80,Technology,collaborative interaction,
Mobilefusion: Real-time volumetric surface reconstruction and dense tracking on mobile phones,,,,,,,,,,,,,TVCG,2015,May,99,Method,immersive collaboration,
Latency in Distributed Acquisition and Rendering for Telepresence Systems,,,,,,,,,,,,,TVCG,2015,May,7,Method,immersive collaboration,
Precise Haptic Device Co-Location for Visuo-Haptic Augmented Reality,,,,,,,,,,,,,TVCG,2015,May,14,Technology,immersive collaboration,
Lift-Off: Using Reference Imagery and Freehand Sketching to Create 3D Models in VR,,,,,,,,,,,,,TVCG,2016,May,72,System,collaborative design,
Towards Pervasive Augmented Reality: Context-Awareness in Augmented Reality,,,,,,,,,,,,,TVCG,2017,May,123,Survey,immersive collaboration,
PelVis: Atlas-based Surgical Planning for Oncological Pelvic Surgery,,,,,,,,,,,,,TVCG,2016,May,16,System,healthcare,
The Effect of Transition Type in Multi-View 360-degree Media,,,,,,,,,,,,https://www.youtube.com/watch?v=XwdVenkQelY,TVCG,2018,May,7,Method,collaborative interaction,
The Effect of Realistic Appearance of Virtual Characters in Immersive Environments - Does the Characters Personality Play a Role,,,,,,,,,,,,,TVCG,2018,May,34,User Study,social interaction,
Multi-User Redirected Walking and Resetting Using Artificial Potential Fields,,,,,,,,,,,,,TVCG,2019,Nov,14,Method,collaborative interaction,
Conveying spatial awareness cues in xR collaborations,,,,,,,,,,,,,TVCG,2019,Nov,7,User Study,social interaction,
Presence Mixed Reality and Risk-Taking Behavior: A Study in Safety Interventions,,,,,,,,,,,,,TVCG,2020,May,5,User Study,immersive collaboration,
Immersive Process Model Exploration in Virtual Reality,,,,,,,,,,,,,TVCG,2020,May,1,System,immersive visualization,
Teleporting through virtual environments: Effects of path scale and environment scale on spatial updating,,,,,,,,,,,,,TVCG,2020,May,3,System,immersive collaboration,
Spatial Presence Performance and Behavior between Real Remote and Virtual Immersive Environments,,,,,,,,,,,,,TVCG,2020,May,0,User Study,immersive collaboration,
3D Live: Real Time Captured Content for Mixed Reality,,,,,,,,,,,,,ISMAR,2002,Jun,120,Technology,immersive collaboration,
Communication Behaviors of Co-located Users in Collaborative AR Interfaces ,,,,,,,,,,,,,ISMAR,2002,Jul,110,User Study,collaborative interaction,
Diminishing Head-Mounted Display for Shared Mixed Reality,,,,,,,,,,,,,ISMAR,2002,Aug,36,System,social interaction,
Alternative Tools for Tangible Interaction: A Usability Evaluation,,,,,,,,,,,,,ISMAR,2002,Sep,30,User Study,collaborative interaction,
Seeing Eye to Eye: a shared mediated reality using EyeTap devices and the VideoOrbits Gyroscopic Head Tracker,,,,,,,,,,,,,ISMAR,2002,Oct,17,System,social interaction,
MR2 (MR Square): A Mixed-Reality Meeting Room,,,,,,,,,,,,,ISMAR,2001,Nov,12,System,immersive collaboration,
Virtual Object Manipulation on a Table-Top AR Environment,,,,,,,,,,,,,ISMAR,2000,Dec,919,System,collaborative interaction,
Bridging Multiple User Interface Dimensions with Augmented Reality ,,,,,,,,,,,,,ISMAR,2000,Jan,119,System,immersive collaboration,
Augmented Urban Planning Workbench: Overlaying Drawings Physical Models and Digital Simulation,,,,,,,,,,,,,ISMAR,2002,Feb,196,System,collaborative design,
Interactive Theatre Experience in Embodied + Wearable Mixed Reality Space,,,,,,,,,,,,,ISMAR,2002,Mar,62,System,immersive collaboration,
Spacedesign: A Mixed Reality Workspace for Aesthetic Industrial Design,,,,,,,,,,,,,ISMAR,2002,Apr,223,System,collaborative design,
A Wearable Mixed Reality with an On-board Projector ,,,,,,,,,,,,,ISMAR,2003,May,87,System,immersive collaboration,
User Interaction in Mixed Reality Interactive Storytelling ,,,,,,,,,,,,,ISMAR,2003,Jun,10,System,collaborative interaction,
An Augmented Virtuality Approach to 3D Videoconferencing,,,,,,,,,,,,,ISMAR,2003,Jul,51,Technology,immersive collaboration,
Multiview Paraperspective Projection Model for Diminished Reality,,,,,,,,,,,,,ISMAR,2003,Aug,101,System,immersive collaboration,
Immersive Observation of Virtualized Soccer Match at Real Stadium Model,,,,,,,,,,,,,ISMAR,2003,Sep,35,System,social interaction,
Collaborative Mixed Reality Visualization of an Archaeological Excavation,,,,,,,,,,,,,ISMAR,2004,Oct,192,Platform,collaborative interaction,
Designing Backpacks for High Fidelity Mobile Outdoor Augmented Reality,,,,,,,,,,,,,ISMAR,2004,Nov,43,Technology,immersive collaboration,
Evaluation of Mixed-Space Collaboration,,,,,,,,,,,,,ISMAR,2005,Dec,48,Survey,immersive collaboration,
A Hybrid Image-based and Model-based Telepresence System Using Two-Pass Video Projection onto a 3D Scene Model,,,,,,,,,,,,,ISMAR,2005,Jan,7,System,immersive collaboration,
Localisation and Interaction for Augmented Maps,,,,,,,,,,,,,ISMAR,2005,Feb,94,System,collaborative interaction,
Enhanced Eyes for Better Gaze-Awareness in Collaborative Mixed Reality,,,,,,,,,,,,,ISMAR,2005,Mar,11,User Study,social interaction,
Immersive Mixed-Reality Configuration of Hybrid User Interfaces,,,,,,,,,,,,,ISMAR,2005,Apr,41,System,immersive collaboration,
Viewpoint Stabilization for Live Collaborative Video Augmentations ,,,,,,,,,,,,,ISMAR,2006,May,16,System,immersive collaboration,
Move the Couch Where?: Developing an Augmented Reality Multimodal Interface ,,,,,,,,,,,,,ISMAR,2006,Jun,62,System,immersive collaboration,
A 2D-3D Integrated Interface for Mobile Robot Control Using Omnidirectional Images and 3D Geometric Models,,,,,,,,,,,,,ISMAR,2006,Jul,34,System,teleoperation,
An Evaluation of Graphical Context as a Means for Ameliorating the Effects of Registration Error,,,,,,,,,,,,,ISMAR,2008,Aug,41,User Study,immersive collaboration,
AR-Jig: A Handheld Tangible User Interface for Modification of 3D Digital Form via 2D Physical Curve ,,,,,,,,,,,,,ISMAR,2007,Jul,33,Technology,immersive collaboration,
Collocated AAR: Augmenting After Action Review with Mixed Reality,,,,,,,,,,,,,ISMAR,2008,Aug,19,System,teleoperation,
Trends in Augmented Reality Tracking Interaction and Display: A Review of Ten Years of ISMAR,,,,,,,,,,,,,ISMAR,2008,Sep,1251,Survey,immersive collaboration,
Using AR to support cross-organisational collaboration in dynamic tasks,,,,,,,,,,,,,ISMAR,2009,Oct,52,System,immersive collaboration,
Contextual In-Situ Visualization for Port Placement in Keyhole Surgery: Evaluation of Three Target Applications by Two Surgeons and Eighteen Medical Trainees,,,,,,,,,,,,,ISMAR,2009,Nov,4,System,healthcare,
Augmenting Reality for Medicine Training Presence and Telepresence,,,,,,,,,,,,,ISMAR,2010,Dec,2,Survey,healthcare,
The Importance of Eye-contact for Collaboration in AR Systems,,,,,,,,,,,,,ISMAR,2010,Jan,9,User Study,social interaction,
Experiences with an AR Evaluation Test Bed: Presence Performance and Physiological Measurement,,,,,,,,,,,,,ISMAR,2010,Feb,41,User Study,immersive collaboration,
Turning Augmented Reality into a Media: Design Exploration to Build a Dedicated Visual Language ,,,,,,,,,,,,,ISMAR,2011,Feb,5,User Study,collaborative design,
MR in OR: First analysis of AR/VR visualization in 100 intra-operative Freehand SPECT acquisitions,,,,,,,,,,,,,ISMAR,2011,Feb,30,System,healthcare,
A Syncretic Approach to Artistic Research in Mixed Reality Data Transfer,,,,,,,,,,,,,ISMAR,2011,Feb,1,Method,collaborative interaction,
Quick Viewpoint Switching for Manipulating Virtual Objects in Hand-Held Augmented Reality using Stored Snapshots,,,,,,,,,,,,,ISMAR,2012,Feb,31,System,immersive collaboration,
Distributed Visual Processing for Augmented Reality,,,,,,,,,,,,,ISMAR,2012,Feb,11,System,immersive visualization,
A Tangible Multi-Display Toolkit to Support the Collaborative Design Exploration of AV-Pedestrian Interfaces,,,,,,,,,,,,,CHI,2020,Dec,0,System,collaborative design,
User Behaviour Analysis of Mixed Reality Remote Collaboration with a Hybrid View Interface,,,,,,,,,,,,,CHI,2020,Dec,0,User Study,collaborative interaction,
Designing for Heterogeneous Cross-Device Collaboration and Social Interaction in Virtual Reality,,,,,,,,,,,,,CHI,2020,Dec,0,System,social interaction,
Improving Procedural Task Performance with Augmented Reality Annotations,,,,,,,,,,,,,ISMAR,2013,Feb,43,Technology,collaborative interaction,
Augmented Reality Scout : Joint Unaided-eye and Telescopic-zoom System for Immersive Team Training,,,,,,,,,,,,,ISMAR,2015,Mar,3,System,immersive learning,
TactileVR: Integrating Physical Toys into Learn and Play Virtual Reality Experiences,,,,,,,,,,,,https://www.youtube.com/watch?v=7hRl-LdGYPs,ISMAR,2016,Apr,14,System,immersive learning,
Interactive Visualizations for Monoscopic Eyewear to Assist in Manually Orienting Objects in 3D,,,,,,,,,,,,,ISMAR,2016,May,3,System,immersive visualization,
Reality Skins: Creating Immersive and Tactile Virtual Environments,,,,,,,,,,,,,ISMAR,2016,Jun,14,System,immersive collaboration,
Empirical Study of Non-Reversing Magic Mirrors for Augmented Reality Anatomy Learning,,,,,,,,,,,,,ISMAR,2017,Jul,13,User Study,immersive learning,
Synthesis of Environment Maps for Mixed Reality,,,,,,,,,,,,,ISMAR,2017,Aug,5,Method,immersive collaboration,
Recent Developments and Future Challenges in Medical Mixed Reality,,,,,,,,,,,,,ISMAR,2017,Sep,68,Survey,healthcare,
Mixed Voxel Reality: Presence and Embodiment in Low Fidelity Visually Coherent Mixed Reality Environments,,,,,,,,,,,,,ISMAR,2017,Oct,17,System,immersive collaboration,
Evaluating Engagement Level and Analytical Support of Interactive Visualizations in Virtual Reality Environments,,,,,,,,,,,,,ISMAR,2018,Nov,6,System,immersive visualization,
Effects of Sharing Real-Time Multi-Sensory Heart Rate Feedback in Different Immersive Collaborative Virtual Environments,,,,,,,,,,,,,ISMAR,2018,Dec,5,User Study,collaborative interaction,
A User Study on MR Remote Collaboration Using Live 360 Video,,,,,,,,,,,,https://www.youtube.com/watch?v=2IG5eA71Uws,ISMAR,2018,Jan,26,User Study,immersive collaboration,
Sharing Manipulated Heart Rate Feedback in Collaborative Virtual Environments,,,,,,,,,,,,,ISMAR,2019,Feb,1,System,immersive collaboration,
Annotation vs. Virtual Tutor: Comparative Analysis on the Effectiveness of Visual Instructions in Immersive Virtual Reality,,,,,,,,,,,,,ISMAR,2019,Mar,3,System,immersive learning,
Efficient 3D Reconstruction and Streaming for Group-Scale Multi-Client Live Telepresence,,,,,,,,,,,,,ISMAR,2019,Apr,6,Method,immersive collaboration,
Is Any Room Really OK? The Effect of Room Size and Furniture on Presence Narrative Engagement and Usability During a Space-Adaptive Augmented Reality Game,,,,,,,,,,,,,ISMAR,2019,May,0,User Study,collaborative interaction,
Mixed Reality Office System Based on Maslows Hierarchy of Needs: Towards the Long-Term Immersion in Virtual Environments,,,,,,,,,,,,,ISMAR,2019,Jun,6,System,immersive collaboration,
COLLABOVR: A RECONFIGURABLE FRAMEWORK FOR CREATIVE COLLABORATION IN VIRTUAL REALITY,,,,,,,,,,,,https://www.youtube.com/watch?v=ZJ6tfc4djuA,ISMAR,2020,Jul,0,Platform,immersive learning,
Collaborative Augmented Reality on Smartphones via Life-long City-scale Maps,,,,,,,,,,,,,ISMAR,2020,Aug,0,System,immersive collaboration,
Evaluating Mixed and Augmented Reality: A Systematic Literature Review (2009–2019),,,,,,,,,,,,,ISMAR,2020,Sep,0,Survey,immersive collaboration,
A Comparative Study of Orientation Support Tools in Virtual Reality Environments with Virtual Teleportation,,,,,,,,,,,,,ISMAR,2020,Oct,0,User Study,immersive collaboration,
Worlds First Wearable Humanoid Robot that Augments Our Emotions,,,,,,,,,,,,,AH,2010,Nov,32,Platform,social interaction,
ExoInterfaces: Novel Exosceleton Haptic Interfaces for Virtual Reality Augmented Sport and Rehabilitation,,,,,,,,,,,,,AH,2010,Dec,49,Technology,teleoperation,
Parasitic Humanoid: The Wearable Robotics as a Behavioral Assist Interface like Oneness between Horse and Rider,,,,,,,,,,,,,AH,2011,Jan,8,Technology,healthcare,
View Sharing System for Motion Transmission ,,,,,,,,,,,,,AH,2011,Feb,11,System,collaborative interaction,
KUSUGURI: A Shared Tactile Interface for Bidirectional Tickling,,,,,,,,,,,,,AH,2012,Mar,23,Technology,collaborative interaction,
Human-centric Panoramic Imaging Stitching,,,,,,,,,,,,,AH,2012,Apr,14,Method,immersive collaboration,
SEMarbeta: Mobile Sketch-Gesture-Video Remote Support for Car Drivers,,,,,,,,,,,,https://www.youtube.com/watch?v=a7wNUSdTwCU,AH,2013,May,17,System,immersive collaboration,